nombre,fecha_inicio,fecha_fin,estatus
Abordaje Identificacion,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
Aviso de Privacidad,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
No discriminacion,OLWAYS ON,OLWAYS ON,ACTIVA
Terminos y condiciones,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
Costapass,OLWAYS ON,OLWAYS ON,ACTIVA
Compra anticipada 35 + 10,OLWAYS ON,OLWAYS ON,INACTIVA
Multienvios,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
Doters ,OLWAYS ON,OLWAYS ON,ACTIVA
Desc INAPAM - PCD,OLWAYS ON,OLWAYS ON,INACTIVA
Multiventa ETN  ,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
Multiventa ETN y Autovias,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
Boleto Electronico,OLWAYS ON,OLWAYS ON,FALTA ACTUALIZAR ARTES
Rutas Taxqueña,OLWAYS ON,OLWAYS ON,ACTIVA
MEXS-PPG,OLWAYS ON,OLWAYS ON,ACTIVA
Promo Norte - Papagayo,OLWAYS ON,OLWAYS ON,ACTIVA
Ruta CDMX - Tepochutla,OLWAYS ON,OLWAYS ON,ACTIVA
Rutas Zihuatanejo,OLWAYS ON,OLWAYS ON,ACTIVA
Des Temp,OLWAYS ON,OLWAYS ON,ACTIVA
