nombre,dispositivo,proyeccion,estatus
Acapulco Diamante,PANELES LED,PLAYER,Remodelaion
Acapulco Papagayo,PANELES LED,PLAYER,Remodelaion
Acapulco Centro,PLAYER,PLAYER,Remodelaion
Acapulco Gran Plaza,PLAYER,PLAYER,Remodelaion
Mexico Sur TQ1,PANELES LED,PLAYER,OK
Mexico Sur MOD1,USB,PLAYER,OK
Mexico Norte,PANELES LED,PLAYER,OK
AIFA,PLAYER,PLAYER,OK
Chilpancingo,PLAYER,PLAYER,OK
Chilpancingo Sala,PLAYER,PLAYER,OK
Cuernavaca,PLAYER,PLAYER,OK
Iguala,PLAYER,PLAYER,OK
Lazaro Cardenas,PLAYER,PLAYER,OK
Taxco,PLAYER,PLAYER,OK
Tepotzotlan,PLAYER,PLAYER,OK
