nombre,dispositivo,proyeccion,estatus
Armeria,PANTALLAS,USB,Remodelacion
Atlacomulco Autovias,PANELES LED,PLAYER,OK
Atlacomulco Pegaso,PANELES LED,PLAYER,OK
Atoyac,PANTALLAS,USB,OK
CD Antigua,PANTALLAS,USB,OK
CD Guzman,PANELES LED,PLAYER,OK
CD Hidalgo,PANTALLAS,PLAYER,OK
Colima,PANTALLAS,PLAYER,OK
El Manchon,PANELES LED,PLAYER,Remodelacion
El ORO,PANTALLAS,USB,OK
Guadalajara,PANTALLAS,PLAYER,OK
Jilotepec,PANTALLAS,PLAYER,Pantalla Dañada
Lazaro Cardenas,PANTALLAS,PLAYER,OK
Manzanillo La Linea,PANELES LED,PLAYER,Remodelacion
Manzanillo Nuevo Horizonte,PANELES LED,PLAYER,Remodelacion
Maravatio,PANELES LED,PLAYER,Remodelacion
Mexico Norte,PANTALLAS,PLAYER,OK
Mexico Poniente,PANTALLAS,PLAYER,OK
Morelia,PANELES LED,PLAYER,OK
Patzcuaro,PANTALLAS,USB,OK
Queretaro A,PANTALLAS,PLAYER,OK
Queretato B,PANELES LED,PLAYER,OK
Sahuayo,PANTALLAS,USB,OK
San Felipe,PANELES LED,PLAYER,OK
Santiago,PANTALLAS,PLAYER,Pantalla Dañada
Tepotzotlan,PANTALLAS,PLAYER,OK
Tizapan,PANTALLAS,USB,OK
Tlaquepaque,PANELES LED,PLAYER,OK
Toluca Autovias,PANTALLAS,PLAYER,Pantalla Dañada
Toluca Pegasso,PANELES LED,PLAYER,OK
Toluca Sala de Espera,PANTALLAS,PLAYER,OK
Uruapan,PANTALLAS,PLAYER,Pantalla Dañada
Zamora Economico,PANTALLAS,PLAYER,OK
Zamora Plus,PANTALLAS,PLAYER,OK
